activity_1,activity_2,activity_3,activity_4,activity_5,next_activity,org:resource
0,2,0,2,0,2,Anson
0,0,2,0,0,0,Anton
0,2,0,1,0,1,Antonio
0,0,2,0,0,2,Anupam
0,2,0,0,1,1,Anurag
0,0,0,0,0,2,Anurekha
0,0,0,0,0,0,Aparna
0,0,0,0,0,0,Archil
0,0,0,0,0,0,Arkadiusz
0,2,0,2,0,2,Armin
0,0,2,0,0,0,Arnaud
0,0,0,0,0,0,Artur
0,0,0,0,0,0,Arun
0,2,0,2,0,0,Ashok
0,0,1,0,0,1,Ashwani
0,0,0,0,0,1,Ashwin
0,2,2,2,0,2,Asmita
0,0,0,0,0,2,Aurangzeb
0,0,2,0,0,1,Aurelien
0,0,2,0,0,0,Avinaash
0,0,2,0,0,2,Ayumi
0,0,2,0,0,0,Azad
0,0,0,0,0,0,Azam khan
0,0,2,0,0,0,Azusa
0,2,0,2,0,2,Balram
0,2,0,2,0,2,Bart
0,0,0,2,2,0,Bartosz
0,0,2,0,2,0,Basil
0,1,0,2,0,0,Ben
0,0,0,2,0,0,Benoit
0,0,0,0,1,0,Berit
2,2,0,0,2,0,Bernard
0,0,1,1,0,1,Bertil
0,0,0,0,0,1,Bhagya
0,0,2,0,0,1,Bhavdeep
0,2,0,1,0,0,Bikshamaiah
0,0,0,0,0,0,Björn
0,0,2,0,0,0,Bo
0,0,0,0,0,0,Brad
0,0,2,0,1,0,Brecht
0,0,0,2,0,0,Brian
0,0,2,0,2,0,Britt
0,0,0,2,0,2,Bruce
0,0,2,0,0,0,Bruna
2,0,0,2,0,0,Bruno
2,0,2,0,2,0,Bryan
0,0,2,0,2,2,Camilla
0,0,2,0,2,0,Carina
0,2,2,0,2,0,Carl
0,2,0,2,0,0,Carl-Fredric
0,2,0,2,0,2,Carmelo
0,0,0,0,0,0,Caroline
0,2,0,0,0,0,Carolyn
0,0,2,0,0,0,Catherine
0,2,0,2,0,0,Cecilia
0,0,2,0,2,2,Cedric
0,0,0,2,2,0,Cezary
2,0,2,0,2,0,Chaitanya
0,2,0,2,0,0,Charan
0,0,0,2,2,2,Charlotte
0,0,2,0,0,1,Charumathi
0,0,0,0,0,0,Chetan
0,2,0,0,2,0,Chethan
0,2,0,1,0,1,Chew Khong
0,2,2,2,0,0,Christer
0,2,2,2,0,2,Christian
0,0,0,0,0,0,Christina
0,0,0,0,0,0,Christine
0,0,2,0,0,0,Christofer
0,2,0,2,0,2,Christoffer
0,2,2,0,0,0,Christopher
0,0,0,0,0,2,Christos
0,1,0,1,0,0,Christy
0,0,0,2,2,0,Cindy
0,0,2,0,0,2,Claes
0,0,2,0,2,0,Clarice
0,0,2,0,2,0,Claude
0,2,0,0,0,0,Claudia
0,2,0,2,0,0,Claudio
0,0,2,0,0,2,Conny
0,0,0,1,0,0,Conrad
0,0,0,2,0,0,Cristian
0,0,0,0,0,0,Cristiane
0,0,2,0,0,1,Cyril
0,0,2,2,2,2,Cyrille
0,2,2,0,2,0,Dan
0,0,1,0,0,0,Daniel
0,0,0,1,1,0,Daniel Alf
0,2,0,2,0,2,Danny
0,0,0,0,0,0,Darren
0,0,0,2,0,0,Dauri
0,2,0,0,0,2,Davi
0,0,2,0,0,2,David
0,0,0,2,2,0,Dawid
0,0,0,0,0,0,Debashish
0,0,2,0,0,0,Debasish
0,0,0,0,1,0,Deborah
0,0,0,2,0,2,Deepak
0,1,0,1,0,1,Dejan
0,0,2,1,0,2,Dennis
0,0,2,0,0,0,Denny
0,0,2,0,2,0,Dhriti
0,0,0,0,0,2,Dhruvajit
0,0,2,0,0,1,Didier Cla
0,0,2,0,0,0,Diego
0,1,0,1,0,1,Dieter
0,0,0,0,0,0,Dillip
0,2,0,2,2,0,Dinakar
0,2,0,2,0,0,Dinesh
0,0,0,2,0,0,Divonsir
0,0,2,0,0,1,Dominika
0,0,0,2,0,0,Donald
0,1,0,0,1,1,Doohwan
0,0,1,0,0,0,Duane
0,0,0,0,0,0,Dusan
0,0,0,0,0,2,Earl
1,0,0,2,0,0,Edison
0,0,2,0,1,0,Edna
0,0,0,2,0,0,Eduardo
0,0,0,0,0,0,Edwilson
0,0,0,0,1,0,Eie
0,0,0,0,0,0,Elaine
0,0,0,0,2,0,Elangovan
2,0,2,0,0,0,Elin
0,0,0,0,2,2,Ellen
0,0,1,0,0,0,Ellist
0,0,2,0,2,0,Emil
0,2,0,0,0,0,Eric
0,0,0,0,0,0,Erik
0,1,0,1,0,1,Erin
0,0,2,0,0,2,Eva
0,2,0,0,0,2,Eva-Lott
0,0,0,0,2,0,Evandro
0,0,2,0,0,2,Evelyn
0,0,0,0,0,0,Evgeny
0,0,0,0,2,0,Evy
0,0,2,0,2,2,Ewa
0,0,2,0,0,0,Fabricio
0,0,2,0,0,2,Fausto
0,0,2,0,0,0,Febin
2,0,0,2,0,0,Felipe
0,1,0,0,2,0,Felippe
2,2,0,0,2,0,Filip
0,0,0,0,2,1,Filippa
0,0,0,0,0,0,Flavio
2,0,1,0,0,2,Florent
0,0,0,0,0,0,Florian
0,0,2,0,0,2,Francis
0,0,1,0,0,1,Francois-Fr
0,0,2,0,0,2,Frank
0,2,0,2,0,2,Freddy Martin
0,0,2,0,0,2,Frederic
0,0,0,0,0,0,Fredrik
0,0,2,0,0,2,Frida
0,0,2,0,0,2,Gael
0,0,0,2,2,0,Gagan
0,0,0,2,0,0,Ganesh
0,0,0,0,0,0,Garima
0,2,0,0,0,0,Garry
0,0,2,0,0,2,Gary
0,2,0,0,0,0,Gaurav
0,0,0,1,2,0,George
0,0,0,0,0,0,Georges
0,0,0,0,0,2,Georgia
0,2,0,0,2,0,Gerald
0,0,0,2,0,0,Gerrit
0,0,2,0,1,0,Gerry
0,2,0,2,0,2,Gert
0,0,1,0,2,0,Gilmar
0,0,0,0,0,0,Girish
0,2,0,2,0,2,Gitt
0,0,0,0,2,0,Gizele
0,0,2,0,1,0,Glenn
0,0,0,1,0,2,Grzegorz
0,0,0,2,1,0,Guillaume
2,2,0,0,1,1,Gunilla
0,0,0,2,0,0,Gunnar
0,0,2,0,0,2,Gunther
0,0,0,2,0,1,Gustav
0,0,0,0,0,0,Gustavo
0,0,2,0,0,1,Guy
0,0,0,2,0,0,Göran
0,0,0,0,0,0,Haider
0,2,0,2,0,2,Hanna
0,0,0,0,0,0,Hanne
0,1,0,1,0,1,Hans
0,2,0,0,2,0,Hans-Erik
0,0,0,2,2,0,Harald
0,0,0,0,0,0,Hari
0,2,0,0,2,0,HariKrishna
0,2,0,0,0,2,Harish
0,2,0,2,0,0,Harshavardhan
0,0,2,0,1,0,Harshit
0,0,2,2,0,0,Hebert
0,2,0,0,1,0,Helene
0,0,0,0,0,0,Hemalatha
0,0,2,0,2,0,Hemanth
0,2,0,0,2,0,Henk
2,2,0,2,2,2,Henrik
0,2,0,2,0,2,Herve
0,1,0,1,0,1,Heungki
0,0,2,0,0,0,Heverton
0,0,2,0,0,0,Hicham
0,0,0,2,0,0,Himanshu
0,2,0,0,0,0,Hineesh
0,2,0,2,0,0,Hongjae
0,0,0,0,0,1,Houssam
0,2,0,0,0,0,Hovik
0,0,2,0,0,2,Howard
0,0,0,0,1,1,Hwei Ling
0,0,0,0,0,0,Håkan
0,0,0,0,0,1,Ian
0,0,0,0,0,0,Igor
0,0,2,0,2,0,Ilona
0,0,2,0,2,0,Imran
0,1,0,1,0,1,Indrani Pola
0,2,0,0,2,0,Ingela
2,0,2,2,2,0,Ingemar
0,0,2,0,1,1,Ingmar
0,0,0,0,0,2,Ioannis
0,0,0,0,0,0,Irshad
0,2,0,2,0,2,Isaide
0,0,0,0,0,2,Isao
2,2,2,0,0,0,Ivan
0,0,2,0,0,2,Izabela
0,0,0,0,0,0,J
0,0,0,0,0,0,Jacek
0,0,0,2,0,2,Jacob
0,0,2,0,0,2,Jacqueline
0,0,0,0,0,0,Jadwiga
0,2,0,2,0,2,Jakob
0,2,2,2,0,2,Jakub
0,0,0,0,0,0,James
0,2,0,0,2,0,Jan
0,0,1,0,2,0,Jan-Anders
0,2,0,2,0,0,Janaina
0,0,2,0,0,2,Janice
0,0,0,1,0,0,Janne
0,2,0,2,0,2,Jaroslaw
0,0,0,0,0,0,Jaseem
0,0,2,0,0,2,Jason
0,0,1,0,1,0,Jay
0,0,0,2,0,2,Jayakrishnan
0,0,0,1,1,1,Jaykumar
0,0,0,0,0,1,Jean Philippe
2,2,2,2,2,2,Jean-Marie
0,0,0,1,0,0,Jean-Michel
0,1,0,0,0,0,Jean-Yves
0,0,0,0,0,1,Jeane
0,0,2,0,0,0,Jenny
0,0,2,0,0,2,Jens
0,0,0,0,0,0,Jeremy
0,0,2,0,0,1,Jeroen
2,2,0,0,0,2,Jerry
0,0,0,0,0,0,Jesper
2,0,0,0,0,1,Jessica
0,0,0,0,0,0,Jill
0,0,2,0,0,2,Jimmy
0,0,2,0,0,0,Jinos
0,0,0,2,0,0,Jisha
0,2,0,2,0,0,Jitender
0,0,0,0,0,0,Jithendra
0,0,2,0,2,0,Joakim
0,0,2,0,0,0,Joanna
0,0,0,0,1,0,Joanne
0,2,0,2,0,2,Joao
0,2,0,2,0,2,Joaquín
0,0,0,0,0,0,Joe
0,0,0,2,0,0,Joel
0,2,0,2,0,2,Joey
0,0,0,2,0,0,Jogish
0,0,0,2,2,2,Johan
0,2,0,2,2,0,Johanna
2,0,0,0,0,0,Johannes
0,2,0,2,0,2,John
0,2,0,0,0,0,Johnny
0,0,0,0,0,0,Jolanta
0,2,0,0,2,0,Jomi
0,0,0,0,0,0,Jon
0,0,0,0,2,0,Jonas
0,2,0,0,0,2,Jonatan
0,0,0,2,0,0,Jonatas
2,0,1,0,1,0,Jonathan
0,2,0,0,2,0,Jongjin
0,0,0,0,0,2,Joram
0,0,2,0,0,0,Joris
2,2,2,2,2,2,Jorn
0,2,0,1,0,2,Jose
0,2,0,2,0,2,Josef
0,0,0,1,0,1,Josefine
0,0,0,0,2,0,Joseph
0,2,0,0,0,0,Josh
0,2,0,2,2,0,Joshi N
0,0,2,0,0,2,Joshua
0,0,0,0,0,0,Joyce
0,0,0,0,0,0,Juan
0,0,0,0,0,0,Jubin
2,2,2,0,0,1,Julia
0,2,0,2,0,0,Julien
2,2,2,2,2,2,Julius
0,0,1,0,0,1,Justin
0,0,0,0,0,2,Jörgen
0,0,0,0,0,1,Jüri
0,0,0,0,0,0,Kalpesh
0,0,0,0,2,0,Kamal
0,0,0,0,2,0,Kamil
0,0,2,0,0,2,Kamila
0,2,0,0,0,0,Kannan
2,2,0,1,0,1,Karen
0,0,2,0,0,0,Karin
0,0,0,0,0,0,Karl
0,0,0,0,0,0,Karol
0,0,2,0,0,2,Karolina
0,0,0,2,0,0,Karoly
2,0,0,2,0,0,Katarina
0,0,2,0,0,0,Katarzyna
0,0,0,0,0,0,Katia
0,0,2,0,0,2,Katrien
0,0,0,0,0,0,Kave
2,2,2,2,2,2,Kavya
0,0,0,0,1,0,Kelly
0,2,0,2,0,2,Kenneth
0,0,0,0,0,2,Kent
2,2,2,2,2,2,Kevin
2,2,2,2,2,2,Kicki
2,2,2,2,2,2,Kiichi
0,0,2,0,0,2,Kim
0,0,0,0,0,0,Kimi
0,0,0,0,0,0,Kimmo
0,2,0,0,0,0,Kiran
0,0,0,0,2,0,Kishore
0,2,0,0,0,1,Kishore Kumar
0,2,0,1,0,2,Kjell
0,0,0,2,0,0,Klas
0,0,0,0,0,0,Klas-Ove
0,2,0,0,1,0,Koen
0,1,0,0,0,0,Komaraiah
0,0,0,2,0,0,Konrad
0,0,0,0,2,2,Krishna
0,0,0,0,0,0,Krishnarjuna
0,1,0,1,0,1,Krister
2,0,0,2,0,1,Kristian
0,0,0,0,0,0,Kristina
0,0,0,2,0,2,Kristoffer
0,2,0,2,0,2,Krushna
0,2,0,0,0,0,Krzysztof
0,0,0,0,0,0,KumarGuru
0,0,0,0,0,0,Kumaresan
0,0,2,0,0,0,Kwewat
0,0,0,0,1,0,Kwong
0,0,0,1,0,1,Kyle
2,0,2,0,0,2,Kåre
0,2,0,0,2,0,Labib
0,0,0,0,1,0,Laetitia
0,0,2,0,0,2,Laleh
0,0,2,0,0,2,Larissa
2,2,2,2,0,0,Lars
0,0,0,2,1,0,Lars-Erik
0,0,0,0,0,0,Lars-Inge
0,0,0,0,1,0,Latoya
2,2,0,0,1,0,Laura
0,0,0,0,0,0,Laurent
0,0,0,0,0,0,Lavanya
2,2,0,0,1,0,Leif
0,0,0,0,1,1,Len
0,0,3,2,0,0,Lena
0,1,0,0,0,0,Lenin
0,0,2,2,0,0,Lennart
0,0,0,0,2,0,Leon
0,0,0,1,1,1,Leszek
0,0,0,0,0,1,Lierson
2,0,0,2,0,2,Liesbet
0,0,1,0,0,0,Lijin
0,0,0,1,0,0,Lill
0,0,0,0,0,0,Linda
0,0,2,0,2,0,Lingaraj
0,0,0,2,0,0,Linus
0,0,0,0,0,2,Lionel
0,0,2,0,2,0,Lisbeth
0,0,0,0,0,0,Lisha
0,2,0,2,0,2,Loic
0,0,0,0,2,0,Lokesha
0,2,2,0,2,0,Luan
0,2,0,2,0,2,Luc
0,0,0,0,2,0,Lucas
0,2,0,2,0,2,Ludovic
2,2,0,0,0,0,Luis
0,2,0,0,0,0,Luiz
0,0,0,0,2,0,Lukasz
0,0,1,0,0,2,Luke
0,2,0,2,0,2,Lynette
0,0,2,0,0,2,M Humaira
0,0,0,0,0,0,MUDIT
0,0,1,0,1,1,Maarten
0,2,0,2,0,0,Maciej
0,2,0,2,0,2,Magali
0,2,0,0,0,0,Magalie
0,2,0,0,0,2,Magdalena
0,0,0,0,2,0,Magnus
0,2,0,0,2,0,Malgorzata
0,0,2,0,0,0,Malik
0,2,0,0,0,2,Malin
0,0,2,0,2,0,Maltesh
0,2,0,2,2,0,Manasa
0,0,0,0,0,0,Manikandan
0,0,0,1,0,0,Manisha
0,0,2,0,1,0,Manjunath
0,2,0,2,0,2,Manjunatha
0,2,0,1,0,0,Manoj
0,0,2,2,0,0,Manuel
0,0,0,0,0,0,Marc
0,0,2,2,0,0,Marc Stephane
0,0,0,0,2,0,Marcelo
0,0,0,0,2,0,Marcin
0,0,2,0,0,2,Marcius
0,0,2,0,0,2,Marco
0,1,0,0,0,0,Marcos
0,0,2,2,2,0,Marcus
0,0,0,2,0,0,Maria
0,0,0,0,0,0,Marie
0,1,0,1,0,1,Marie-Aimee
0,2,0,2,0,2,Marika
0,0,2,0,0,0,Marilyn
0,0,0,0,1,0,Mario
0,1,0,2,0,2,Mario Alberto
0,0,1,0,1,0,Marise
0,2,2,0,0,0,Mariusz
0,0,0,0,0,1,Markus
0,0,0,2,0,0,Marta
0,0,0,0,0,0,Marteinn
0,2,0,0,2,0,Martin
0,0,0,0,0,0,Maryse
0,0,0,0,0,0,Mateusz
0,0,0,0,0,2,Mats
0,0,2,0,0,0,Matt
0,0,2,0,2,0,Mattia
0,1,0,2,0,0,Mattias
0,0,0,0,1,1,Mauno
0,0,0,2,0,0,Max
0,0,1,0,0,2,Maxim
0,0,0,0,0,2,May
0,0,2,0,0,1,Megha
0,0,0,2,0,2,Meishan
0,0,0,0,2,0,Melekia
0,0,1,0,0,0,Mende
0,0,1,0,0,0,Micael
0,0,2,0,0,0,Michael
0,2,0,2,0,2,Michail
0,0,2,0,2,0,Michal
0,0,0,0,0,0,Michel
0,0,2,0,0,1,Michele
0,0,0,2,0,0,Miika
0,0,0,0,0,0,Mika
0,2,0,0,0,0,Mikael
0,0,0,2,0,0,Mike
0,0,0,0,0,0,Milosz
0,0,1,0,0,0,Minhwan
0,0,0,2,1,0,Minjung Mace
0,0,0,0,0,0,Minkyu
0,2,0,2,0,2,Miroslawa
0,0,0,0,2,2,Mitchell
0,0,2,0,0,2,Mohammad
0,0,1,1,0,1,Mohammed Aman
0,1,0,0,0,0,Mohammed Junaid
0,0,0,2,0,0,Moniece
0,0,0,2,0,0,Monika
0,2,0,0,0,0,Morgan
0,0,2,0,0,0,Mourad
0,2,0,0,0,0,Mukul
0,0,0,0,2,0,Muthu
0,2,0,0,0,0,Mythri
0,2,0,0,2,0,Nagaraj
0,0,0,0,0,2,Nagarjun
0,2,0,2,0,2,Nagashree
0,0,2,0,0,0,Nalosh
0,0,2,0,2,0,Namita
0,0,1,0,0,0,Narendra
2,0,0,2,0,0,Natalia
0,2,0,2,0,2,Naveen
0,2,2,2,2,0,Navneet
0,0,2,0,2,0,Nayana
0,2,0,2,0,0,Neeraj
0,0,1,1,0,0,Neha
2,2,2,2,2,2,Neil
0,2,0,2,0,2,Nele
0,0,0,1,0,0,Neo
2,2,2,2,2,2,Nichole
0,0,0,0,0,0,Nicklas
0,0,0,0,0,0,Nicky
2,2,2,2,2,2,Niclas
0,1,0,0,2,0,Nicolas
0,0,0,2,0,2,Niklas
0,0,0,0,0,0,Nilton
0,0,0,0,2,0,Nina
0,0,2,0,0,1,Noel
0,0,2,0,2,0,Norbert
0,0,0,0,0,0,Nordine
0,0,1,0,0,1,Normand
0,2,0,2,0,0,Oden
0,0,2,2,0,0,Ola
0,0,0,1,0,0,Oleg
0,0,0,2,0,0,Olga
0,0,2,0,0,2,Oliver
0,0,0,0,0,1,Olivier
0,0,0,1,0,2,Olle
0,0,0,0,2,0,Olof
0,0,0,0,0,0,Oskar
0,0,0,2,0,0,Osmar
0,0,2,0,0,0,P
0,2,0,2,0,2,Pablo
0,0,1,0,0,0,Pachha
0,0,0,2,0,0,Padmanabha
0,0,0,0,0,0,Pai
0,2,0,2,0,0,Pallav
0,0,2,0,2,0,Pandiarajan
0,0,0,0,0,0,Pankaj
0,2,0,2,0,0,Parbhat
0,0,0,0,0,0,Partha
2,2,2,0,1,2,Partner
0,0,0,0,0,2,Patricia
0,0,2,2,0,0,Patrick
0,1,0,0,0,0,Patrik
0,0,2,0,0,2,Patryk
0,0,0,0,2,0,Paul
0,2,2,0,2,0,Paulina
0,2,0,2,0,2,Paulo
0,0,0,0,1,1,Pavan Harohalli
0,0,0,0,2,0,Pawel
0,0,0,2,0,0,Pekka
0,0,0,0,0,0,Peng
0,0,2,0,0,0,Per
0,0,0,0,0,0,Pernilla
0,0,2,2,0,0,Peter
0,0,2,0,0,2,Petri
0,0,0,0,0,0,Philip
2,2,2,2,2,0,Pia
0,0,0,0,0,0,Pierre
0,0,0,0,0,0,Piotr
0,0,0,0,0,0,Piyush
0,0,0,0,2,0,Pongsak
0,2,0,0,1,0,Pontus
0,2,0,0,0,2,Pooja
0,0,2,0,0,0,Poornendu
0,0,0,2,2,2,Pradeep
0,0,2,0,2,0,Pramod
0,2,0,0,0,0,Prasad
0,2,0,0,0,1,Prasanth
0,0,0,2,0,0,Prasat
0,0,2,0,2,0,Prasath
0,0,2,0,0,0,Prashant
0,2,0,0,2,0,Prathimadevi
0,0,0,0,2,0,Praveen
0,0,0,2,0,0,Priscila
0,0,1,0,0,2,Prithi
2,1,0,0,0,1,Priya
0,2,0,2,0,2,Przemyslaw
0,0,2,2,0,2,Punit
0,2,2,0,2,0,Pushkar
0,2,0,2,0,2,Pär
0,0,2,0,0,2,Quang-Nhiem
0,2,0,0,0,0,Radha
2,2,2,2,0,2,Radoslaw
0,0,2,0,0,0,Rafael
0,0,2,0,0,2,Rafal
0,0,0,0,2,1,Raghavendra
0,0,0,0,0,2,Ragnar
0,2,0,0,0,0,Rahul
0,2,0,2,0,0,Raja
0,0,2,0,2,0,Rajasekhar
2,2,0,2,2,0,Rajendra
0,0,0,0,0,0,Rajendran
0,0,0,0,0,2,Rajesh
0,0,2,0,0,2,Rajesh Krishna
0,0,2,0,2,0,Rajesh Kumar
0,2,0,0,0,0,Rajkishore
0,2,0,0,2,0,Rajkumar
0,0,0,2,0,0,Rakesh
0,0,0,0,0,0,Ram
0,2,2,0,2,2,Rama Krishna
0,2,0,2,2,0,Ramesh
0,0,0,0,1,1,Ramith
0,0,0,0,0,1,Ranjan
0,2,0,0,2,0,Ranjith
0,0,2,0,0,0,Ranveer
0,0,0,0,2,0,Raphael
0,2,0,0,2,0,Rasmus
0,0,0,2,0,0,Ratikanta
0,1,0,1,0,1,Raul
2,2,2,2,2,2,Raymond
0,1,0,0,0,0,Razia
0,0,2,0,0,0,Renaat
0,0,0,0,0,1,Renate
0,2,0,0,2,0,Renato
0,2,0,0,1,0,Reza
0,0,2,0,0,2,Ribhu
0,0,2,0,0,0,Richard
0,0,0,1,1,0,Rickard
0,0,2,0,0,2,Ricky
0,0,0,0,0,0,Riitta
0,0,0,0,0,0,Rijin
0,0,2,0,0,2,Rikard
0,2,2,0,0,0,Robert
0,0,2,0,0,2,Roberto
0,0,2,0,0,0,Robin
0,0,0,0,0,0,Rockie
0,2,0,2,0,2,Rodrigo
0,0,0,0,2,0,Roger
0,0,2,0,0,2,Rolf
0,0,2,0,0,0,Romain
0,1,0,0,0,0,Roman
0,2,0,2,0,2,Ronak
0,0,0,0,0,0,Ronald
0,2,0,0,2,0,Royal
0,0,0,0,0,1,Rudraya
0,0,2,0,0,2,Ryan
0,0,0,0,0,0,Sabine
0,1,0,0,2,0,Sachin
0,0,0,2,0,0,Sadia
0,2,0,0,2,2,Sahana
0,0,2,0,0,0,Saidur
0,0,0,0,2,0,Saki
2,0,0,2,0,0,Sam
0,0,2,0,2,0,Sameer
0,0,0,0,2,0,Samoel
0,2,2,0,2,0,Sandeep
0,0,2,0,0,2,Sanderson
0,0,0,0,0,0,Sandra
2,2,2,2,2,2,Sandrine
0,0,2,0,0,2,Sanjay
0,2,0,2,0,0,Sankar
0,0,1,0,0,0,Sanna
0,2,0,2,0,0,Santhi
0,0,0,0,0,0,Santosh
0,2,0,2,0,0,Sara
0,2,0,0,0,0,Sarah
0,2,0,2,0,1,Saravanan
0,0,0,0,0,0,Sarguna
0,0,2,0,2,0,Sarvesh
0,0,0,1,0,1,Sascha
0,2,0,2,0,0,Satheesh
0,0,0,2,0,2,Sathish
0,0,0,0,0,0,Satish
0,0,2,0,0,2,Scott
0,2,0,0,0,0,Sebastian
0,0,0,0,0,1,Seija
0,2,0,0,0,0,Serge
0,0,2,0,2,2,Seyedehsanaz
0,0,1,0,0,2,Shanmuga
0,0,2,0,2,0,Sharath
0,0,2,0,0,0,Shibly
0,1,0,1,0,1,Shin
0,2,0,0,2,0,Shobha
0,1,0,0,0,1,Shubha
0,0,0,2,0,2,Shuwen
0,1,0,0,0,0,Shyam
0,2,0,2,0,2,Shyamalendu
0,0,0,1,0,0,Shyamly
0,0,0,0,0,0,Shylaja
0,0,0,0,0,0,Siddarth
0,0,0,0,0,0,Siebel
0,0,0,1,1,0,Sijoy
0,0,2,0,0,0,Simon
0,2,0,2,0,2,Slawomir
0,0,0,1,0,1,Sobhan
0,0,0,0,0,1,Sofia C
0,2,0,0,1,2,Soma
0,2,0,0,0,2,Somashekharayya
0,2,0,2,0,2,Sonal
0,2,2,0,0,0,Sonny
0,0,2,0,0,2,Sonu
0,0,0,1,1,1,Soo Chuan
0,0,2,0,0,0,Sophia
0,0,0,0,0,2,Sophie
0,0,0,0,0,2,Sowmya
0,0,0,0,0,0,Sreehari
0,0,2,0,0,0,Sreejith
0,0,0,0,0,0,Sreelesh
0,0,0,0,0,1,Sri Vidya
0,0,0,0,2,0,Srikanth
0,0,0,0,0,0,Srinivasan
0,2,0,0,0,2,Sruthi
0,2,0,0,2,0,Stanislav
0,0,2,0,0,0,Stanislaw
0,0,0,0,2,2,Stefan
0,2,0,0,2,0,Stellan
0,0,2,0,2,0,Sten
0,0,0,0,0,0,Stephane
0,0,0,0,0,0,Stephen
0,0,0,0,0,0,Steven
0,2,0,2,2,0,Stig
0,2,0,2,0,0,Stina
0,0,0,0,0,0,Stéphane
0,0,1,0,0,1,Su Lian
0,0,1,0,0,1,Subhash
0,0,0,0,2,1,Subir
0,2,0,2,0,0,Sudeep
0,2,0,2,0,2,Sudhakar Moses
0,0,2,0,0,2,Sudhir
0,0,0,0,0,0,Sudindran
0,2,0,2,0,0,Sue
0,0,0,1,0,0,Suganthi
0,2,0,0,0,0,Sujay
0,2,0,2,0,0,Sujeet
0,0,0,2,0,2,Sujith
0,2,0,0,0,0,Suliman
0,0,2,0,0,2,Suman
0,2,0,2,0,2,Sumesh
0,2,0,0,0,0,Summy
0,0,0,0,1,0,Sunghoon
0,2,0,2,0,2,Sungrae
0,0,2,0,2,0,Sunny
0,0,0,1,0,0,Suresh
3,0,1,0,1,0,Susanna
0,2,2,0,2,0,Susanne
2,2,2,2,2,2,Sven
0,2,0,1,0,1,Svensson
2,0,2,2,0,2,Sverre
0,0,0,0,0,0,Swamy
0,0,0,0,1,1,Swee Lim
0,2,0,2,2,0,Syed
0,2,0,0,1,0,Szymon
0,2,0,0,2,0,Sören
0,0,0,2,0,0,T
0,0,0,2,0,2,Tadeusz
0,2,0,0,0,0,Tamara
0,2,2,0,2,0,Tanvi
0,0,2,0,0,1,Tapan
0,2,0,0,0,0,Tarun
0,1,0,1,0,1,Terence
0,2,0,0,2,0,Thachuda
0,0,2,0,2,0,Thamarai
0,0,2,0,0,0,Therese
0,0,2,0,1,0,Thiago
0,0,0,2,1,0,Thibault
0,2,0,1,0,0,Thierry
0,0,0,1,1,0,Thirmal
0,0,0,0,2,2,Thomas
0,0,0,0,0,0,Tim
0,1,0,0,0,0,Timothy
