activity_1,activity_2,activity_3,activity_4,activity_5,activity_6,activity_7,activity_8,activity_9,activity_10,next_activity,org:resource
5,5,5,5,5,5,5,5,5,5,5,user_069
9,9,9,9,9,9,9,9,5,5,5,user_070
5,5,5,5,5,5,5,5,5,5,5,user_071
9,9,9,9,9,9,9,9,9,9,9,user_072
15,15,1,1,15,1,15,15,1,15,1,user_073
14,14,14,14,14,14,14,14,14,14,14,user_074
9,9,9,9,9,9,9,9,9,9,11,user_075
14,14,14,14,14,14,14,14,14,14,14,user_076
14,14,14,14,14,14,14,14,14,14,14,user_077
9,9,9,9,9,9,9,9,9,9,9,user_078
9,9,9,9,9,9,9,9,9,9,9,user_079
14,14,14,14,14,14,14,14,14,14,14,user_080
5,5,5,5,5,5,5,5,5,5,5,user_081
14,14,14,14,14,14,14,14,14,14,14,user_082
17,17,17,17,17,17,17,17,17,17,17,user_083
9,9,9,9,9,9,9,9,9,9,9,user_084
9,9,9,9,9,9,9,9,11,9,9,user_085
14,14,14,14,14,14,14,14,14,14,14,user_086
14,14,14,14,14,14,14,14,14,14,14,user_087
14,14,14,14,14,14,14,14,14,14,14,user_088
9,9,9,9,9,9,9,9,9,9,9,user_089
2,2,2,2,2,2,2,2,2,2,2,user_090
9,9,9,9,2,9,2,9,9,9,9,user_091
9,9,9,9,9,9,9,9,9,9,9,user_092
14,14,14,14,14,14,14,14,14,14,14,user_093
14,14,14,14,14,14,14,14,14,14,14,user_094
9,9,9,9,9,9,9,9,9,9,9,user_095
14,14,14,14,14,14,14,14,14,14,14,user_096
9,9,9,9,6,9,9,9,9,9,9,user_097
14,14,14,14,14,14,14,14,14,14,14,user_098
14,14,14,14,14,14,14,14,14,14,14,user_099
9,9,9,9,9,9,9,9,9,9,9,user_100
14,14,14,14,14,14,14,14,14,14,14,user_101
9,6,9,9,9,9,9,9,9,9,9,user_102
9,6,9,9,9,9,9,9,9,6,9,user_103
14,14,14,14,14,14,14,14,14,14,14,user_104
9,9,9,9,9,9,9,9,9,9,9,user_105
9,9,9,9,6,9,6,9,9,9,9,user_106
14,14,14,14,14,14,14,14,14,14,14,user_107
9,9,9,9,9,9,9,9,6,9,9,user_108
9,9,9,9,9,9,9,9,9,9,9,user_109
14,0,14,0,14,14,14,14,14,14,14,user_110
8,15,15,15,15,15,15,15,15,1,8,user_111
15,15,15,15,15,15,15,15,15,15,15,user_112
14,14,14,14,14,14,14,14,14,14,14,user_113
14,14,14,14,14,14,14,14,14,14,14,user_114
5,5,5,5,5,5,5,5,5,2,5,user_115
9,9,9,9,9,9,9,9,9,9,9,user_116
9,9,9,9,9,9,9,9,11,11,9,user_117
25,25,25,25,25,25,25,25,25,25,25,user_118
9,9,9,9,9,9,9,9,9,9,9,user_119
14,14,14,14,14,14,14,14,14,14,14,user_120
9,9,9,9,9,9,9,11,9,9,9,user_121
9,9,6,9,6,5,9,9,9,14,14,user_122
14,14,14,14,14,14,14,14,14,14,14,user_123
10,10,10,10,10,10,10,10,10,10,10,user_124
6,6,4,9,11,5,9,9,9,11,5,user_125
14,14,14,14,14,14,14,14,14,14,14,user_126
14,0,14,14,14,14,14,14,14,14,14,user_127
9,9,9,9,9,9,9,9,9,9,9,user_128
6,11,9,9,9,9,9,9,9,9,9,user_129
14,14,14,14,14,14,14,14,14,14,14,user_130
9,9,6,9,14,14,5,9,14,9,14,user_131
14,0,14,14,14,14,14,14,14,14,14,user_133
9,9,9,9,9,9,9,9,9,9,9,user_134
9,9,9,9,9,9,9,9,9,9,13,user_135
9,9,9,9,9,9,9,9,9,9,9,user_136
14,14,14,14,14,14,14,14,14,14,14,user_137
9,14,9,14,9,14,9,14,9,14,9,user_138
14,14,14,0,14,14,14,14,14,14,14,user_139
14,14,12,12,12,12,12,12,12,0,14,user_140
9,9,9,9,9,9,9,9,9,9,9,user_141
9,9,9,9,9,9,9,9,9,9,9,user_142
14,14,4,14,10,9,14,10,10,14,14,user_143
14,14,14,14,14,14,14,14,14,14,14,user_144
14,14,14,14,14,14,14,14,14,14,14,user_145
5,5,5,5,5,11,5,3,9,3,5,user_146
6,6,6,9,9,6,11,9,9,9,9,user_147
9,9,9,9,9,9,9,11,9,9,9,user_148
14,14,14,14,14,14,14,14,14,14,14,user_149
9,14,13,13,13,6,9,13,13,6,4,user_150
9,9,9,9,9,14,14,14,14,14,14,user_151
14,14,14,14,14,14,14,14,14,14,14,user_152
9,9,9,9,9,9,9,9,9,9,9,user_153
10,10,10,10,10,10,10,10,10,10,10,user_154
14,14,14,14,14,14,14,14,14,14,14,user_155
9,9,9,9,9,9,9,9,9,9,9,user_156
14,14,14,14,14,14,14,14,14,14,14,user_157
9,9,9,9,9,9,9,9,9,9,9,user_158
9,14,14,14,14,14,14,14,14,14,14,user_159
9,9,9,9,9,9,9,9,9,9,9,user_160
14,14,14,14,14,14,14,14,14,14,14,user_161
14,14,14,14,14,14,14,14,14,14,14,user_162
9,9,9,9,11,9,9,9,9,9,9,user_163
9,9,9,9,9,9,9,9,9,9,9,user_164
0,14,14,14,14,0,14,14,14,0,14,user_165
14,0,14,0,14,0,14,14,14,0,14,user_166
9,9,9,9,9,9,9,9,9,9,9,user_167
0,0,0,0,14,14,14,14,14,14,14,user_168
6,6,4,9,9,9,9,9,9,9,11,user_169
14,14,14,14,14,0,14,14,14,14,14,user_170
9,9,9,5,9,9,9,9,9,9,9,user_171
9,9,9,9,9,9,9,9,9,9,9,user_172
14,14,14,14,14,14,14,14,14,14,14,user_173
14,14,14,14,14,14,14,14,0,0,0,user_174
14,14,0,14,14,14,14,14,14,14,14,user_175
14,0,9,9,9,9,9,9,11,0,9,user_176
9,9,9,9,9,9,9,9,9,9,9,user_177
9,9,9,9,9,9,9,9,9,9,9,user_178
0,14,0,14,14,0,14,14,0,14,0,user_179
9,9,9,9,9,9,9,9,9,9,9,user_180
14,14,14,14,14,14,14,14,14,14,14,user_181
14,14,14,14,14,14,14,14,14,14,14,user_182
14,14,14,14,14,14,14,14,14,14,14,user_183
14,14,14,14,14,14,14,14,14,14,14,user_184
14,14,14,14,14,14,14,14,14,14,14,user_185
14,14,14,14,14,14,14,14,14,14,14,user_186
9,9,9,9,9,9,5,9,5,9,9,user_187
14,14,14,14,14,14,14,14,14,14,14,user_188
14,14,14,14,14,14,14,14,14,14,14,user_189
14,14,14,14,14,14,14,14,14,14,14,user_190
9,9,9,9,9,9,9,9,9,9,9,user_191
6,6,9,9,9,9,9,9,9,9,9,user_192
9,9,9,14,14,14,14,14,14,9,9,user_193
9,9,14,14,9,9,9,9,9,9,9,user_194
9,9,9,9,9,9,9,9,9,9,9,user_195
15,15,15,15,15,15,15,15,15,15,15,user_196
8,8,8,8,8,8,8,8,8,8,8,user_197
9,14,0,0,0,0,0,0,0,0,14,user_198
9,11,9,9,9,14,9,0,14,14,6,user_199
9,14,14,14,14,14,14,14,14,14,14,user_200
9,9,9,9,9,9,9,9,9,9,9,user_201
14,14,14,14,14,14,14,14,14,14,14,user_202
14,14,14,14,14,14,14,7,14,14,14,user_203
6,9,9,9,9,9,9,9,9,9,9,user_204
8,8,8,8,8,8,8,8,8,8,8,user_205
14,9,14,14,0,0,0,14,0,14,14,user_206
9,9,9,9,9,9,9,9,9,9,9,user_207
10,9,9,9,9,9,9,9,9,9,9,user_208
9,9,9,9,9,9,9,9,9,9,11,user_209
14,0,14,0,14,0,14,0,14,14,0,user_210
14,14,14,14,14,14,14,14,14,14,14,user_211
14,14,14,14,14,14,14,14,14,14,14,user_212
9,6,9,9,9,9,9,9,9,9,9,user_213
9,9,9,9,9,9,9,9,9,9,9,user_214
9,9,9,9,9,9,9,9,9,9,9,user_215
9,9,9,9,9,14,6,6,9,9,9,user_216
14,14,14,14,14,14,14,14,14,14,14,user_217
9,11,9,14,14,14,14,9,9,9,9,user_218
14,14,14,14,14,14,14,14,14,14,14,user_220
14,14,14,14,14,14,14,14,14,14,14,user_221
9,11,9,9,9,14,9,9,14,14,14,user_222
11,11,11,11,9,9,9,9,9,9,9,user_223
0,0,0,0,0,0,0,0,0,0,0,user_224
9,6,6,11,6,9,9,9,9,6,6,user_225
14,14,14,14,14,14,14,14,14,14,14,user_226
9,9,9,9,9,9,9,9,9,9,9,user_229
9,9,9,9,9,9,9,9,9,9,9,user_231
14,14,14,14,14,14,14,14,14,14,14,user_232
14,14,14,14,14,14,14,14,14,14,14,user_233
9,9,9,9,9,9,9,9,9,9,9,user_234
15,15,15,15,15,15,15,15,15,15,15,user_235
10,10,10,10,10,10,10,10,10,10,10,user_236
9,9,9,9,9,9,11,11,11,11,9,user_238
9,9,9,9,9,9,9,9,9,9,5,user_239
9,9,9,9,9,9,9,9,9,9,9,user_240
14,14,14,14,14,14,14,14,14,14,14,user_241
14,14,14,14,14,14,14,14,14,14,14,user_242
2,2,2,2,2,2,2,2,2,2,2,user_243
11,10,10,10,10,10,10,10,10,10,10,user_244
5,5,5,5,5,5,5,5,5,5,5,user_246
5,5,5,5,5,5,5,5,2,2,2,user_247
14,14,14,14,14,14,14,14,14,14,14,user_248
9,9,9,9,9,9,9,14,14,14,14,user_249
15,15,15,15,15,15,15,15,15,15,15,user_250
14,14,14,14,14,14,14,14,14,14,14,user_251
9,9,5,5,11,11,11,11,11,11,11,user_252
14,14,14,14,14,14,14,14,14,14,14,user_253
14,14,14,14,14,14,14,14,14,14,14,user_254
14,14,14,14,14,14,14,14,14,14,14,user_255
9,9,9,9,9,6,6,6,9,6,9,user_256
6,6,6,6,6,6,6,6,6,6,6,user_257
14,14,14,14,14,14,14,14,14,14,14,user_258
14,14,14,14,14,14,14,14,14,14,14,user_259
14,14,14,14,14,14,14,14,14,14,14,user_260
14,14,14,14,14,14,14,14,14,14,14,user_261
14,14,14,14,14,14,14,14,14,14,14,user_262
6,9,9,9,9,6,9,6,6,6,9,user_263
14,14,14,14,14,14,14,14,14,14,14,user_264
14,14,14,14,14,14,14,14,14,14,14,user_265
9,9,9,9,9,9,9,9,9,9,9,user_266
14,14,14,9,14,14,14,14,14,14,14,user_267
6,6,6,6,6,6,6,6,6,6,6,user_268
14,14,14,14,14,14,14,14,14,14,14,user_269
14,14,14,14,14,14,14,14,14,14,14,user_270
9,9,9,9,9,9,11,9,6,9,9,user_271
9,9,9,9,9,9,9,9,9,9,9,user_272
14,14,14,14,14,14,14,14,14,14,14,user_273
9,5,9,9,5,5,9,9,9,9,9,user_274
14,14,14,14,14,14,14,14,14,14,14,user_275
9,9,9,9,9,9,9,9,9,9,9,user_277
9,11,9,9,9,9,9,9,9,9,9,user_278
9,9,9,9,9,9,9,9,9,9,9,user_279
9,9,9,9,9,9,9,9,9,9,9,user_280
0,0,14,0,9,9,9,9,9,9,9,user_281
14,14,14,14,14,14,14,14,14,14,14,user_283
9,9,9,11,9,11,4,9,6,4,6,user_284
6,10,10,10,10,10,10,10,10,10,10,user_285
9,9,9,9,9,9,9,9,9,9,9,user_286
9,9,9,9,9,9,9,9,5,5,5,user_287
14,9,9,9,9,9,9,9,9,9,9,user_288
9,9,9,9,9,9,9,9,5,9,5,user_289
14,14,0,14,14,14,14,14,14,14,14,user_290
14,14,14,14,14,14,14,14,14,14,14,user_291
6,10,10,10,10,10,10,10,10,10,10,user_292
14,14,14,14,14,14,14,14,14,14,14,user_293
1,8,15,25,17,17,17,17,17,17,17,user_294
2,2,2,2,2,2,2,2,2,2,2,user_295
6,9,9,9,9,9,9,9,9,6,4,user_299
14,14,14,14,14,14,14,14,14,14,14,user_300
14,14,14,14,14,14,14,14,14,14,14,user_301
14,14,14,14,14,14,14,14,14,14,14,user_302
9,9,5,5,9,9,9,9,9,9,9,user_303
14,14,14,14,14,14,14,14,14,14,14,user_304
9,9,9,9,9,9,9,9,9,9,9,user_305
14,14,14,14,14,14,14,14,14,14,14,user_306
2,2,2,2,2,2,2,2,2,2,2,user_307
2,2,2,2,2,2,2,2,2,2,2,user_308
6,10,10,10,10,10,10,10,10,10,10,user_309
9,9,9,9,9,9,9,9,9,9,9,user_311
14,14,14,14,14,14,14,14,14,14,14,user_312
14,14,14,14,14,14,14,14,14,14,14,user_313
14,14,14,14,14,14,14,14,14,14,14,user_314
2,2,2,2,2,2,2,2,2,2,2,user_316
2,2,2,2,2,2,2,2,2,2,2,user_317
14,14,14,14,14,14,14,14,14,14,14,user_318
9,9,9,9,9,6,6,6,9,6,6,user_319
5,6,10,10,10,10,10,10,10,10,10,user_320
14,14,14,14,14,14,14,14,14,14,14,user_321
9,9,9,9,9,9,9,4,9,6,6,user_322
14,14,14,14,14,14,14,14,14,14,14,user_323
14,14,14,14,14,14,14,14,14,14,14,user_324
9,9,9,9,9,6,6,6,6,6,9,user_325
6,9,9,9,9,11,9,9,4,9,9,user_326
14,14,14,14,14,14,14,14,14,14,14,user_327
14,6,14,14,0,14,14,14,6,14,14,user_328
10,10,10,10,10,10,10,10,10,10,10,user_329
14,14,14,14,14,14,14,14,14,14,14,user_330
15,15,15,15,15,15,15,15,15,15,15,user_331
6,9,9,9,9,9,9,9,9,9,9,user_332
14,14,14,14,14,14,14,14,14,14,14,user_333
6,6,9,9,6,9,9,9,9,11,11,user_335
14,14,14,14,14,14,14,14,14,14,14,user_336
14,14,14,14,14,14,14,14,14,14,14,user_337
14,14,14,14,14,14,14,14,14,14,14,user_342
14,14,14,14,14,14,14,14,14,14,14,user_344
14,14,14,14,14,14,14,14,14,14,14,user_345
14,14,14,14,14,14,14,14,14,14,14,user_346
14,14,14,14,14,14,14,14,14,14,14,user_347
14,14,14,14,14,14,14,14,14,14,14,user_348
9,9,9,9,9,9,9,9,9,9,9,user_349
14,14,14,14,14,14,14,14,14,14,14,user_350
14,14,14,14,14,14,14,14,14,14,14,user_351
15,15,15,15,15,15,15,15,15,15,15,user_352
15,15,15,15,15,15,15,15,15,15,15,user_353
14,14,14,14,14,14,14,14,14,14,14,user_355
14,14,14,14,14,14,14,14,14,14,14,user_356
5,5,5,5,5,5,5,5,5,5,5,user_358
15,15,15,15,15,15,15,15,15,15,15,user_359
14,14,14,14,14,14,14,14,14,14,14,user_360
11,11,11,11,11,11,5,11,11,11,11,user_361
14,14,14,14,14,14,14,14,14,14,14,user_362
14,14,14,14,14,14,14,14,14,14,14,user_363
15,15,15,15,15,15,15,15,15,15,15,user_364
14,14,14,14,14,14,14,14,14,14,14,user_365
6,4,6,9,4,4,14,14,4,14,6,user_366
14,14,14,14,14,14,14,14,14,14,14,user_367
15,15,15,15,15,15,15,15,15,15,15,user_368
0,14,0,0,0,0,0,0,0,0,0,user_369
9,5,5,9,9,9,9,9,9,9,9,user_370
0,0,0,0,0,0,0,0,0,0,0,user_371
14,14,14,14,14,14,14,14,14,14,14,user_372
10,10,10,10,10,10,10,10,10,10,10,user_373
10,10,10,10,10,10,10,10,10,10,10,user_374
14,14,14,14,14,14,14,14,0,0,0,user_375
15,15,15,15,15,15,15,15,15,15,15,user_376
9,9,9,9,9,9,9,9,9,9,9,user_377
6,6,6,9,9,6,9,9,9,9,9,user_378
14,14,14,14,14,14,14,14,14,14,14,user_380
5,5,5,5,5,5,5,5,5,5,5,user_381
14,14,14,14,14,14,14,14,14,14,14,user_383
14,14,14,14,14,14,14,14,14,14,14,user_384
9,9,9,9,9,6,9,9,9,9,9,user_387
9,9,9,9,9,9,9,9,9,9,9,user_388
14,14,14,14,14,14,14,14,14,14,14,user_391
10,10,10,10,10,10,10,10,10,10,10,user_392
9,9,9,9,9,9,9,9,9,9,9,user_394
14,14,14,14,14,14,14,14,14,14,14,user_399
14,14,14,14,14,14,14,14,14,14,14,user_400
14,14,14,14,14,14,14,14,14,14,14,user_403
14,14,14,14,14,14,14,14,14,14,14,user_404
9,9,9,9,9,6,6,6,9,9,6,user_407
14,14,14,14,14,14,14,14,14,14,14,user_410
14,14,0,14,14,14,14,14,14,14,14,user_411
14,14,14,14,14,14,14,14,14,14,14,user_412
10,10,10,10,10,10,10,10,10,10,10,user_416
9,9,9,9,9,6,9,6,9,9,9,user_417
14,14,14,14,14,14,14,14,14,14,14,user_419
10,10,10,10,10,10,10,10,10,10,10,user_421
6,6,6,6,6,6,6,10,10,10,9,user_424
14,14,14,14,14,14,14,14,14,14,14,user_427
6,9,9,9,9,9,9,9,9,9,9,user_428
10,10,10,10,10,10,10,10,10,10,10,user_429
9,9,9,9,9,9,9,9,9,11,9,user_430
10,10,10,10,10,10,10,10,10,10,10,user_432
10,10,10,10,10,10,10,10,10,10,10,user_433
10,10,10,10,10,10,10,10,10,10,10,user_434
10,10,10,10,10,10,10,10,10,10,10,user_435
9,5,9,9,9,9,9,9,9,9,9,user_436
10,10,10,10,10,10,10,10,10,10,10,user_439
10,10,10,10,10,10,10,10,10,10,10,user_440
10,10,10,10,10,10,10,10,10,10,10,user_441
20,20,20,20,20,19,18,21,19,18,21,user_445
10,10,10,10,10,10,10,10,10,10,10,user_446
10,10,10,10,10,10,10,10,10,10,10,user_447
10,10,10,10,10,10,10,10,10,10,10,user_448
10,10,10,10,10,10,10,10,10,10,10,user_449
10,10,10,10,10,10,10,10,10,10,10,user_450
10,10,10,10,10,10,10,10,10,10,10,user_451
10,10,10,10,10,10,10,10,10,10,10,user_452
10,10,10,10,10,10,10,10,10,10,10,user_453
10,10,10,10,10,10,10,10,10,10,10,user_454
10,10,10,10,10,10,10,10,10,10,10,user_455
10,10,10,10,10,10,10,10,10,10,10,user_456
10,10,10,10,10,10,10,10,10,10,10,user_457
10,10,10,10,10,10,10,10,10,10,10,user_458
10,10,10,10,10,10,10,10,10,10,10,user_459
10,10,10,10,10,10,10,10,10,10,10,user_460
10,10,10,10,10,10,10,10,10,10,10,user_461
10,10,10,10,10,10,10,10,10,10,10,user_462
10,10,10,10,10,10,10,10,10,10,10,user_463
10,10,10,10,10,10,10,10,10,10,10,user_464
10,10,10,10,10,10,10,10,10,10,10,user_465
10,10,10,10,10,10,10,10,10,10,10,user_466
10,10,10,10,10,10,10,10,10,10,10,user_467
10,10,10,10,10,10,10,10,10,10,10,user_468
10,10,10,10,10,10,10,10,10,10,10,user_469
10,10,10,10,10,10,10,10,10,10,10,user_470
10,10,10,10,10,10,10,10,10,10,10,user_471
10,10,10,10,10,10,10,10,10,10,10,user_472
10,10,10,10,10,10,10,10,10,10,10,user_473
10,10,10,10,10,10,10,10,10,10,10,user_475
10,10,10,10,10,10,10,10,10,10,10,user_476
10,10,10,10,10,10,10,10,10,10,10,user_477
10,10,10,10,10,10,10,10,10,10,10,user_478
10,10,10,10,10,10,10,10,10,10,10,user_479
10,10,10,10,10,10,10,10,10,10,10,user_480
10,10,10,10,10,10,10,10,10,10,10,user_481
10,10,10,10,10,10,10,10,10,10,10,user_482
10,10,10,10,10,10,10,10,10,10,10,user_483
10,10,10,10,10,10,10,10,10,10,10,user_484
10,10,10,10,10,10,10,10,10,10,10,user_485
10,10,10,10,10,10,10,10,10,10,10,user_486
10,10,10,10,10,10,10,10,10,10,10,user_487
10,10,10,10,10,10,10,10,10,10,10,user_488
10,10,10,10,10,10,10,10,10,10,10,user_490
10,10,10,10,10,10,10,10,10,16,16,user_492
10,10,10,10,10,10,10,10,10,10,10,user_493
10,10,10,10,10,10,10,10,10,10,10,user_494
10,10,10,10,10,10,10,10,10,10,10,user_495
10,10,10,10,10,10,10,10,10,10,10,user_496
10,10,10,10,10,10,10,10,10,10,10,user_497
10,10,10,10,10,10,10,10,10,10,10,user_498
10,10,10,10,10,10,10,10,10,10,10,user_499
9,14,0,9,14,9,14,9,14,9,14,user_500
10,10,10,10,10,10,10,10,10,10,10,user_501
10,10,10,10,10,10,10,10,10,10,10,user_502
10,10,10,10,10,10,10,10,10,10,10,user_503
10,10,10,10,10,10,10,10,10,10,10,user_505
10,10,10,10,10,10,10,10,10,10,10,user_506
10,10,10,10,10,10,10,10,10,10,10,user_507
10,10,10,10,10,10,10,10,10,10,10,user_509
10,10,10,10,10,10,10,10,10,10,10,user_510
10,10,10,10,10,10,10,10,10,10,10,user_511
10,10,10,10,10,10,10,10,10,10,10,user_512
10,10,10,10,10,10,10,10,10,10,10,user_513
10,10,10,10,10,10,10,10,10,10,10,user_514
10,10,10,10,10,10,10,10,16,10,10,user_515
10,10,10,10,10,10,10,10,10,10,10,user_516
10,10,10,10,10,10,10,10,10,10,10,user_518
10,10,10,10,10,10,10,10,10,10,10,user_519
10,10,10,10,10,10,10,10,10,10,10,user_520
10,10,10,10,10,10,10,10,10,10,10,user_521
10,10,10,10,10,10,10,10,10,10,10,user_523
9,14,9,9,9,9,9,9,9,9,9,user_524
10,10,10,10,10,10,10,10,10,10,10,user_525
10,10,10,10,10,10,10,10,10,10,10,user_530
10,10,10,10,10,10,10,10,10,10,10,user_535
10,10,10,10,10,10,10,10,10,10,10,user_536
10,10,10,10,10,10,10,10,10,10,10,user_537
10,10,10,10,10,10,10,10,10,10,10,user_539
10,10,10,10,10,10,10,10,10,10,10,user_544
10,10,10,10,10,10,10,10,10,10,10,user_545
10,10,10,10,10,10,10,10,10,10,10,user_547
0,0,0,0,0,0,0,0,0,0,0,user_549
10,10,10,10,10,10,10,10,10,10,16,user_550
10,10,10,10,10,10,10,10,10,10,10,user_551
10,10,10,10,10,10,10,10,10,10,10,user_552
10,10,10,10,10,10,10,10,10,10,10,user_558
10,10,10,10,10,10,10,10,10,10,10,user_563
10,10,10,10,10,10,10,10,10,10,16,user_564
10,10,10,10,10,10,10,10,10,10,10,user_567
10,10,10,10,10,10,10,10,10,10,10,user_568
14,14,14,14,14,14,14,14,14,14,14,user_569
9,9,9,9,9,9,9,9,9,9,9,user_572
6,6,9,9,9,9,9,9,9,9,9,user_574
10,10,10,10,10,10,10,10,10,10,10,user_578
9,9,9,9,9,9,9,9,6,9,9,user_591
14,14,14,14,14,14,14,14,14,14,14,user_592
2,2,2,2,2,2,2,2,2,2,2,user_597
9,14,9,14,14,14,14,14,14,9,14,user_601
9,9,9,9,9,9,9,9,9,9,9,user_602
2,2,2,2,2,2,2,2,2,2,2,user_603
8,8,8,8,8,8,8,8,8,8,8,user_604
15,15,15,8,8,15,15,1,1,8,8,user_605
