activity_1,activity_2,activity_3,activity_4,activity_5,next_activity,org:resource
7,7,7,7,7,7,user_040
12,12,12,12,12,12,user_041
7,7,7,7,7,7,user_042
7,7,7,7,7,7,user_043
12,12,12,12,12,12,user_044
7,7,7,7,7,7,user_045
12,12,12,12,12,12,user_046
12,12,12,12,12,12,user_047
12,12,12,12,12,12,user_048
12,12,12,12,12,12,user_049
12,12,12,12,12,12,user_050
7,7,7,7,7,7,user_051
7,7,7,7,7,7,user_052
12,12,12,12,12,12,user_053
7,7,7,7,7,7,user_054
12,12,12,12,12,12,user_056
7,7,7,7,7,7,user_057
12,12,12,12,12,12,user_058
7,7,7,7,7,7,user_059
7,7,7,7,7,7,user_060
12,12,12,12,12,12,user_061
12,12,12,12,12,12,user_062
7,7,7,7,7,7,user_063
7,7,7,7,7,7,user_064
0,0,12,12,12,12,user_065
7,7,7,7,7,7,user_066
12,12,12,12,12,12,user_067
7,7,7,7,7,7,user_068
4,4,4,4,4,4,user_069
7,7,7,7,7,7,user_070
4,4,4,4,4,4,user_071
7,7,7,7,7,7,user_072
13,13,1,1,13,1,user_073
12,12,12,12,12,12,user_074
7,7,7,7,7,7,user_075
12,12,12,12,12,12,user_076
12,12,12,12,12,12,user_077
7,7,7,7,7,7,user_078
7,7,7,7,7,7,user_079
12,12,12,12,12,12,user_080
4,4,4,4,4,4,user_081
12,12,12,12,12,12,user_082
14,14,14,14,14,14,user_083
7,7,7,7,7,7,user_084
7,7,7,7,7,7,user_085
12,12,12,12,12,12,user_086
12,12,12,12,12,12,user_087
12,12,12,12,12,12,user_088
7,7,7,7,7,7,user_089
2,2,2,2,2,2,user_090
7,7,7,7,2,7,user_091
7,7,7,7,7,7,user_092
12,12,12,12,12,12,user_093
12,12,12,12,12,12,user_094
7,7,7,7,7,7,user_095
12,12,12,12,12,12,user_096
7,7,7,7,5,7,user_097
12,12,12,12,12,12,user_098
12,12,12,12,12,12,user_099
7,7,7,7,7,7,user_100
12,12,12,12,12,12,user_101
7,5,7,7,7,7,user_102
7,5,7,7,7,7,user_103
12,12,12,12,12,12,user_104
7,7,7,7,7,7,user_105
7,7,7,7,5,7,user_106
12,12,12,12,12,12,user_107
7,7,7,7,7,7,user_108
7,7,7,7,7,7,user_109
12,0,12,0,12,12,user_110
6,13,13,13,13,13,user_111
13,13,13,13,13,13,user_112
12,12,12,12,12,12,user_113
12,12,12,12,12,12,user_114
4,4,4,4,4,4,user_115
7,7,7,7,7,7,user_116
7,7,7,7,7,7,user_117
22,22,22,22,22,22,user_118
7,7,7,7,7,7,user_119
12,12,12,12,12,12,user_120
7,7,7,7,7,7,user_121
7,7,5,7,5,4,user_122
12,12,12,12,12,12,user_123
8,8,8,8,8,8,user_124
5,5,3,7,9,4,user_125
12,12,12,12,12,12,user_126
12,0,12,12,12,12,user_127
7,7,7,7,7,7,user_128
5,9,7,7,7,7,user_129
12,12,12,12,12,12,user_130
7,7,5,7,12,12,user_131
12,0,12,12,12,12,user_133
7,7,7,7,7,7,user_134
7,7,7,7,7,7,user_135
7,7,7,7,7,7,user_136
12,12,12,12,12,12,user_137
7,12,7,12,7,12,user_138
12,12,12,0,12,12,user_139
12,12,10,10,10,10,user_140
7,7,7,7,7,7,user_141
7,7,7,7,7,7,user_142
12,12,3,12,8,7,user_143
12,12,12,12,12,12,user_144
12,12,12,12,12,12,user_145
4,4,4,4,4,9,user_146
5,5,5,7,7,5,user_147
7,7,7,7,7,7,user_148
12,12,12,12,12,12,user_149
7,12,11,11,11,5,user_150
7,7,7,7,7,12,user_151
12,12,12,12,12,12,user_152
7,7,7,7,7,7,user_153
8,8,8,8,8,8,user_154
12,12,12,12,12,12,user_155
7,7,7,7,7,7,user_156
12,12,12,12,12,12,user_157
7,7,7,7,7,7,user_158
7,12,12,12,12,12,user_159
7,7,7,7,7,7,user_160
12,12,12,12,12,12,user_161
12,12,12,12,12,12,user_162
7,7,7,7,9,7,user_163
7,7,7,7,7,7,user_164
0,12,12,12,12,0,user_165
12,0,12,0,12,0,user_166
7,7,7,7,7,7,user_167
0,0,0,0,12,12,user_168
5,5,3,7,7,7,user_169
12,12,12,12,12,0,user_170
7,7,7,4,7,7,user_171
7,7,7,7,7,7,user_172
12,12,12,12,12,12,user_173
12,12,12,12,12,12,user_174
12,12,0,12,12,12,user_175
12,0,7,7,7,7,user_176
7,7,7,7,7,7,user_177
7,7,7,7,7,7,user_178
0,12,0,12,12,0,user_179
7,7,7,7,7,7,user_180
12,12,12,12,12,12,user_181
12,12,12,12,12,12,user_182
12,12,12,12,12,12,user_183
12,12,12,12,12,12,user_184
12,12,12,12,12,12,user_185
12,12,12,12,12,12,user_186
7,7,7,7,7,7,user_187
12,12,12,12,12,12,user_188
12,12,12,12,12,12,user_189
12,12,12,12,12,12,user_190
7,7,7,7,7,7,user_191
5,5,7,7,7,7,user_192
7,7,7,12,12,12,user_193
7,7,12,12,7,7,user_194
7,7,7,7,7,7,user_195
13,13,13,13,13,13,user_196
6,6,6,6,6,6,user_197
7,12,0,0,0,0,user_198
7,9,7,7,7,12,user_199
7,12,12,12,12,12,user_200
7,7,7,7,7,7,user_201
12,12,12,12,12,12,user_202
12,12,12,12,12,12,user_203
5,7,7,7,7,7,user_204
6,6,6,6,6,6,user_205
12,7,12,12,0,0,user_206
7,7,7,7,7,7,user_207
8,7,7,7,7,7,user_208
7,7,7,7,7,7,user_209
12,0,12,0,12,0,user_210
12,12,12,12,12,12,user_211
12,12,12,12,12,12,user_212
7,5,7,7,7,7,user_213
7,7,7,7,7,7,user_214
7,7,7,7,7,7,user_215
7,7,7,7,7,12,user_216
12,12,12,12,12,12,user_217
7,9,7,12,12,12,user_218
12,12,12,12,12,12,user_220
12,12,12,12,12,12,user_221
7,9,7,7,7,12,user_222
9,9,9,9,7,7,user_223
0,0,0,0,0,0,user_224
7,5,5,9,5,7,user_225
12,12,12,12,12,12,user_226
5,5,5,10,9,9,user_228
7,7,7,7,7,7,user_229
12,12,12,12,12,12,user_230
7,7,7,7,7,7,user_231
12,12,12,12,12,12,user_232
12,12,12,12,12,12,user_233
7,7,7,7,7,7,user_234
13,13,13,13,13,13,user_235
8,8,8,8,8,8,user_236
2,2,2,2,2,2,user_237
7,7,7,7,7,7,user_238
7,7,7,7,7,7,user_239
7,7,7,7,7,7,user_240
12,12,12,12,12,12,user_241
12,12,12,12,12,12,user_242
2,2,2,2,2,2,user_243
9,8,8,8,8,8,user_244
4,4,4,4,4,4,user_246
4,4,4,4,4,4,user_247
12,12,12,12,12,12,user_248
7,7,7,7,7,7,user_249
13,13,13,13,13,13,user_250
12,12,12,12,12,12,user_251
7,7,4,4,9,9,user_252
12,12,12,12,12,12,user_253
12,12,12,12,12,12,user_254
12,12,12,12,12,12,user_255
7,7,7,7,7,5,user_256
5,5,5,5,5,5,user_257
12,12,12,12,12,12,user_258
12,12,12,12,12,12,user_259
12,12,12,12,12,12,user_260
12,12,12,12,12,12,user_261
12,12,12,12,12,12,user_262
5,7,7,7,7,5,user_263
12,12,12,12,12,12,user_264
12,12,12,12,12,12,user_265
7,7,7,7,7,7,user_266
12,12,12,7,12,12,user_267
5,5,5,5,5,5,user_268
12,12,12,12,12,12,user_269
12,12,12,12,12,12,user_270
7,7,7,7,7,7,user_271
7,7,7,7,7,7,user_272
12,12,12,12,12,12,user_273
7,4,7,7,4,4,user_274
12,12,12,12,12,12,user_275
12,12,12,12,12,12,user_276
7,7,7,7,7,7,user_277
7,9,7,7,7,7,user_278
7,7,7,7,7,7,user_279
7,7,7,7,7,7,user_280
0,0,12,0,7,7,user_281
12,12,12,12,12,12,user_283
7,7,7,9,7,9,user_284
5,8,8,8,8,8,user_285
7,7,7,7,7,7,user_286
7,7,7,7,7,7,user_287
12,7,7,7,7,7,user_288
7,7,7,7,7,7,user_289
12,12,0,12,12,12,user_290
12,12,12,12,12,12,user_291
5,8,8,8,8,8,user_292
12,12,12,12,12,12,user_293
1,6,13,22,14,14,user_294
2,2,2,2,2,2,user_295
7,7,7,7,9,9,user_297
5,7,7,7,7,7,user_299
12,12,12,12,12,12,user_300
12,12,12,12,12,12,user_301
12,12,12,12,12,12,user_302
7,7,4,4,7,7,user_303
12,12,12,12,12,12,user_304
7,7,7,7,7,7,user_305
12,12,12,12,12,12,user_306
2,2,2,2,2,2,user_307
2,2,2,2,2,2,user_308
5,8,8,8,8,8,user_309
8,8,8,8,8,8,user_310
7,7,7,7,7,7,user_311
12,12,12,12,12,12,user_312
12,12,12,12,12,12,user_313
12,12,12,12,12,12,user_314
2,2,2,2,2,2,user_316
2,2,2,2,2,2,user_317
12,12,12,12,12,12,user_318
7,7,7,7,7,5,user_319
4,5,8,8,8,8,user_320
12,12,12,12,12,12,user_321
7,7,7,7,7,7,user_322
12,12,12,12,12,12,user_323
12,12,12,12,12,12,user_324
7,7,7,7,7,5,user_325
5,7,7,7,7,9,user_326
12,12,12,12,12,12,user_327
12,5,12,12,0,12,user_328
8,8,8,8,8,8,user_329
12,12,12,12,12,12,user_330
13,13,13,13,13,13,user_331
5,7,7,7,7,7,user_332
12,12,12,12,12,12,user_333
5,5,7,7,5,7,user_335
12,12,12,12,12,12,user_336
12,12,12,12,12,12,user_337
12,12,12,12,12,12,user_342
12,12,12,12,12,12,user_344
12,12,12,12,12,12,user_345
12,12,12,12,12,12,user_346
12,12,12,12,12,12,user_347
12,12,12,12,12,12,user_348
7,7,7,7,7,7,user_349
12,12,12,12,12,12,user_350
12,12,12,12,12,12,user_351
13,13,13,13,13,13,user_352
13,13,13,13,13,13,user_353
12,12,12,12,12,12,user_355
12,12,12,12,12,12,user_356
12,12,12,12,12,12,user_357
4,4,4,4,4,4,user_358
13,13,13,13,13,13,user_359
12,12,12,12,12,12,user_360
9,9,9,9,9,9,user_361
12,12,12,12,12,12,user_362
12,12,12,12,12,12,user_363
13,13,13,13,13,13,user_364
12,12,12,12,12,12,user_365
5,3,5,7,3,3,user_366
12,12,12,12,12,12,user_367
13,13,13,13,13,13,user_368
0,12,0,0,0,0,user_369
7,4,4,7,7,7,user_370
0,0,0,0,0,0,user_371
12,12,12,12,12,12,user_372
8,8,8,8,8,8,user_373
8,8,8,8,8,8,user_374
12,12,12,12,12,12,user_375
13,13,13,13,13,13,user_376
7,7,7,7,7,7,user_377
5,5,5,7,7,5,user_378
12,12,12,12,12,12,user_379
12,12,12,12,12,12,user_380
4,4,4,4,4,4,user_381
8,8,8,8,8,8,user_382
12,12,12,12,12,12,user_383
12,12,12,12,12,12,user_384
7,7,7,7,7,5,user_387
7,7,7,7,7,7,user_388
5,5,5,5,5,5,user_389
6,6,6,6,6,6,user_390
12,12,12,12,12,12,user_391
8,8,8,8,8,8,user_392
7,7,7,7,7,7,user_394
12,12,12,12,12,12,user_395
8,8,8,8,8,8,user_398
12,12,12,12,12,12,user_399
12,12,12,12,12,12,user_400
3,9,5,5,5,5,user_401
12,12,12,12,12,12,user_402
12,12,12,12,12,12,user_403
12,12,12,12,12,12,user_404
7,7,7,7,7,5,user_407
12,12,12,12,12,12,user_410
12,12,0,12,12,12,user_411
12,12,12,12,12,12,user_412
12,12,12,12,12,12,user_413
8,8,8,8,8,8,user_416
7,7,7,7,7,5,user_417
12,12,12,12,12,12,user_419
8,8,8,8,8,8,user_421
5,5,5,5,5,5,user_424
12,12,12,12,12,12,user_427
5,7,7,7,7,7,user_428
8,8,8,8,8,8,user_429
7,7,7,7,7,7,user_430
8,8,8,8,8,8,user_432
8,8,8,8,8,8,user_433
8,8,8,8,8,8,user_434
8,8,8,8,8,8,user_435
7,4,7,7,7,7,user_436
8,8,7,7,7,5,user_437
8,8,8,8,8,8,user_439
8,8,8,8,8,8,user_440
8,8,8,8,8,8,user_441
17,17,17,17,17,16,user_445
8,8,8,8,8,8,user_446
8,8,8,8,8,8,user_447
8,8,8,8,8,8,user_448
8,8,8,8,8,8,user_449
8,8,8,8,8,8,user_450
8,8,8,8,8,8,user_451
8,8,8,8,8,8,user_452
8,8,8,8,8,8,user_453
8,8,8,8,8,8,user_454
8,8,8,8,8,8,user_455
8,8,8,8,8,8,user_456
8,8,8,8,8,8,user_457
8,8,8,8,8,8,user_458
8,8,8,8,8,8,user_459
8,8,8,8,8,8,user_460
8,8,8,8,8,8,user_461
8,8,8,8,8,8,user_462
8,8,8,8,8,8,user_463
8,8,8,8,8,8,user_464
8,8,8,8,8,8,user_465
8,8,8,8,8,8,user_466
8,8,8,8,8,8,user_467
8,8,8,8,8,8,user_468
8,8,8,8,8,8,user_469
8,8,8,8,8,8,user_470
8,8,8,8,8,8,user_471
8,8,8,8,8,8,user_472
8,8,8,8,8,8,user_473
8,8,8,8,8,8,user_474
8,8,8,8,8,8,user_475
8,8,8,8,8,8,user_476
8,8,8,8,8,8,user_477
8,8,8,8,8,8,user_478
8,8,8,8,8,8,user_479
8,8,8,8,8,8,user_480
8,8,8,8,8,8,user_481
8,8,8,8,8,8,user_482
8,8,8,8,8,8,user_483
8,8,8,8,8,8,user_484
8,8,8,8,8,8,user_485
8,8,8,8,8,8,user_486
8,8,8,8,8,8,user_487
8,8,8,8,8,8,user_488
8,8,8,8,8,8,user_490
8,8,8,8,8,8,user_491
8,8,8,8,8,8,user_492
8,8,8,8,8,8,user_493
8,8,8,8,8,8,user_494
8,8,8,8,8,8,user_495
8,8,8,8,8,8,user_496
8,8,8,8,8,8,user_497
8,8,8,8,8,8,user_498
8,8,8,8,8,8,user_499
7,12,0,7,12,7,user_500
8,8,8,8,8,8,user_501
8,8,8,8,8,8,user_502
8,8,8,8,8,8,user_503
8,8,8,8,8,8,user_504
8,8,8,8,8,8,user_505
8,8,8,8,8,8,user_506
8,8,8,8,8,8,user_507
8,8,8,8,8,8,user_508
8,8,8,8,8,8,user_509
8,8,8,8,8,8,user_510
8,8,8,8,8,8,user_511
8,8,8,8,8,8,user_512
8,8,8,8,8,8,user_513
8,8,8,8,8,8,user_514
8,8,8,8,8,8,user_515
8,8,8,8,8,8,user_516
8,8,8,8,8,8,user_518
8,8,8,8,8,8,user_519
8,8,8,8,8,8,user_520
8,8,8,8,8,8,user_521
8,8,8,8,8,8,user_523
7,12,7,7,7,7,user_524
8,8,8,8,8,8,user_525
8,8,8,8,8,8,user_527
8,8,8,8,8,8,user_528
8,8,8,8,8,8,user_530
8,8,8,8,8,8,user_535
8,8,8,8,8,8,user_536
8,8,8,8,8,8,user_537
7,12,7,12,7,12,user_538
8,8,8,8,8,8,user_539
8,8,8,8,8,8,user_543
8,8,8,8,8,8,user_544
8,8,8,8,8,8,user_545
8,8,8,8,8,8,user_546
8,8,8,8,8,8,user_547
0,0,0,0,0,0,user_549
8,8,8,8,8,8,user_550
8,8,8,8,8,8,user_551
8,8,8,8,8,8,user_552
8,8,8,8,8,8,user_554
8,8,8,8,8,8,user_557
8,8,8,8,8,8,user_558
8,8,8,8,8,8,user_563
8,8,8,8,8,8,user_564
8,8,8,8,8,8,user_567
8,8,8,8,8,8,user_568
12,12,12,12,12,12,user_569
7,7,7,7,7,7,user_572
5,5,7,7,7,7,user_574
8,8,8,8,8,8,user_577
8,8,8,8,8,8,user_578
5,5,5,5,5,5,user_581
7,7,7,7,7,7,user_591
12,12,12,12,12,12,user_592
2,2,2,2,2,2,user_597
7,12,7,12,12,12,user_601
7,7,7,7,7,7,user_602
2,2,2,2,2,2,user_603
6,6,6,6,6,6,user_604
13,13,13,6,6,13,user_605
